Column1,p,q,AIC,BIC,HQIC
44,4,4,20570.32308622379,20628.788985976702,20591.524667011072
45,4,5,20572.065765240484,20636.378254968688,20595.387504106493
46,4,6,20574.094010386907,20644.253090090402,20599.535907331643
47,4,7,20575.30827360524,20651.313943284025,20602.870328628705
48,4,8,20576.848385597026,20658.7006452511,20606.53059869922
49,4,9,20573.209880763017,20660.908730392384,20605.01225194394
50,5,0,20579.58924272652,20620.51537255356,20594.430349277616
51,5,1,20570.7539552709,20617.52667507323,20587.715219900725
52,5,2,20572.745503999067,20625.364813776687,20591.82692670762
53,5,3,20553.877513945263,20612.343413698174,20575.079094732544
54,5,4,20572.346656730268,20636.65914645847,20595.668395596276
55,5,5,20573.948803898216,20644.10788360171,20599.390700842952
56,5,6,20577.850321786867,20653.855991465654,20605.412376810335
57,5,7,20577.70457647444,20659.556836128515,20607.386789576634
58,5,8,20575.64064487376,20663.33949450313,20607.443016054684
59,5,9,20578.42256684837,20671.96800645303,20612.34509610802
60,6,0,20581.287120839363,20628.059840641694,20598.24838546919
61,6,1,20583.549425123278,20636.168734900897,20602.63084783183
62,6,2,20573.554287552994,20632.020187305905,20594.755868340275
63,6,3,20571.877189506544,20636.189679234747,20595.198928372552
64,6,4,20573.7931239068,20643.952203610294,20599.235020851535
65,6,5,20576.13575004595,20652.141419724736,20603.697805069416
66,6,6,20573.316553042896,20655.16881269697,20602.99876614509
67,6,7,20579.460149509265,20667.15899913863,20611.262520690187
68,6,8,20577.463805605435,20671.009245210094,20611.386334865085
69,6,9,20580.66719724742,20680.059226827372,20616.709884585798
70,7,0,20580.076637933766,20632.695947711385,20599.15806064232
71,7,1,20573.158910192156,20631.624809945068,20594.360490979438
72,7,2,20575.576832796705,20639.88932252491,20598.898571662714
73,7,3,20573.4547627146,20643.613842418094,20598.896659659335
74,7,4,20575.5279448788,20651.533614557586,20603.089999902266
75,7,5,20576.327363823075,20658.17962347715,20606.00957692527
76,7,6,20579.696983893795,20667.395833523162,20611.499355074717
77,7,7,20576.99752805467,20670.54296765933,20610.92005731432
78,7,8,20577.03185981509,20676.423889395042,20613.07454715347
79,7,9,20582.584335904154,20687.822955459396,20620.74718132126
80,8,0,20577.54991970145,20636.015819454362,20598.751500488732
81,8,1,20579.438781983175,20643.75127171138,20602.760520849184
82,8,2,20576.772888102678,20646.931967806173,20602.214785047414
83,8,3,20578.699238815247,20654.704908494034,20606.261293838714
84,8,4,20578.03851439976,20659.890774053834,20607.720727501954
85,8,5,20578.786831720226,20666.485681349594,20610.58920290115
86,8,6,20578.510642699766,20672.056082304425,20612.433171959416
87,8,7,20576.410746964277,20675.802776544228,20612.453434302653
88,8,8,20578.478054004623,20683.716673559866,20616.64089942173
89,8,9,20580.42907199078,20691.51428152131,20620.712075486616
90,9,0,20579.50131165498,20643.813801383185,20602.82305052099
91,9,1,20581.40833196228,20651.567411665776,20606.850228907017
92,9,2,20576.936957914506,20652.942627593293,20604.499012937973
93,9,3,20577.29428633093,20659.146545985004,20606.976499433124
94,9,4,20579.39336309519,20667.092212724558,20611.195734276112
95,9,5,20573.765959743243,20667.311399347902,20607.688489002892
96,9,6,20578.564013340692,20677.956042920643,20614.60670067907
97,9,7,20579.81063916027,20685.049258715513,20617.97348457738
98,9,8,20579.801286960308,20690.88649649084,20620.084290456143
99,9,9,20582.024527796675,20698.956327302498,20624.427689371238
